# GLOSSARIO.lock — tabela NORMATIVA de termos (fonte unica da verdade)
#
# Este arquivo manda. O GLOSSARIO.md explica; este aqui e' aplicado por
# tools/enforce_glossary.py e verificado por tools/qa_check.py no build.
#
# Regra de ouro: o gatilho e' o RUSSO de origem, nunca o portugues.
# Isso evita corromper substantivos comuns homografos (ex.: «коробки» =
# caixas literais, que NAO sao o Короб/Termitario).
#
# Colunas (TAB):
#   canonico     termo pt-BR obrigatorio
#   gen_num      genero/numero do canonico: ms|fs|mp|fp|inv (inv = nome proprio sem artigo)
#   gatilho_ru   regex case-sensitive aplicada ao campo "ru" da linha de origem
#   proibidos    variantes a substituir, separadas por ';' — formato variante:gen_num
#   nota         justificativa da decisao
#
canonico	gen_num	gatilho_ru	proibidos	nota	ru_display
Graça	inv	\bЛаск(?:а|е|и|у|ой)\b	Grace:inv	ALINHADO AO PATHOLOGIC 2 pt-BR. «Ласка» = carinho/doninha; "Grace" e a forma da versao inglesa; aqui o apelido e traduzido, e o lock antigo travava o contrario. Invertido. | ANTES: Grace. Nome canonico do fandom, fixado no Day01. Maioria (35x35 contra 11). Ласка nao e' nome russo comum, e' apelido; "Grace" ja e' a traducao consagrada.	Ласка
o Eixo	ms	\bСтерж(?:ень|ня|не|ню|нем)\b	Cetro:ms;Vara:fs	Стержень = nucleo/haste/prumo moral ("человек со стержнем" = pessoa com fibra). "Eixo" carrega o sentido de nucleo; "Cetro" (bastao de autoridade) e' sentido errado. Maioria tambem (13 contra 4). | ATUALIZACAO (auditoria 2026-08-12): ATUALIZACAO: adiciona 'Vara:fs' aos proibidos (antes so' 'Cetro:ms'); achado de auditoria com termo E genero errados numa ocorrencia.	Стержень
a Fornalha	fs	\bГорн(?:ы|ах|ов|ам|ами)\b	Forja:fs	Mansao Kain (EN "the Crucible"). Fixado desde Day01; 52 ocorrencias contra 3.	Горны
a Bocarra	fs	\bЖерл(?:о|а|е|у|ом)\b	Fauce:fs	Sem conflito real — a "Boca" detectada era substring de "Bocarra". | ATUALIZACAO (auditoria 2026-08-12): ATUALIZACAO: linha ja existia com 'proibidos' vazio (nao pegava 'Fauce', termo diferente usado por engano em 6 ocorrencias).	Жерло
o Rim	ms	\bПочк(?:а|е|и|у)\b	Baço:ms	O EN errou: Почка = rim, nao baco. Correcao mantida.	Почка
os Quartos	mp	\bЖильник(?:ах|и|ов|ам|ами)\b	Retaguarda:fs	Duplo sentido perfeito: "quartos" = comodos (жильё = moradia) E quartos traseiros (EN "Hindquarters"). Mantem a cidade-corpo. 37 contra 1.	Жильники
o Cortiço	ms	\bКороб(?:а|у|е|ом)?\b	Covil:ms;Caixa:fs	Короб = caixa/cesto; EN "Warren". "Cortico" e' literalmente caixa de abelhas E habitacao coletiva apinhada — cobre os dois sentidos e ecoa o Termitario. "Covil" (toca de fera) e' o que a MT produz de "Warren".	Короб
o contramestre	ms	\bстаршин(?:а|у|ы|е|ой)\b	capataz:ms	Titulo do Oyun, «Старшина Боен» = contramestre do Matadouro. 7 contra 2.	старшина (Боен)
Rocha	inv	\bГор(?:а|е|у)\b	Boulder:ms	Гора e' apelido russo (montanha), nao nome do Kin — e o projeto traduz apelidos (o Beco, o Esperado, o Genio). "Rocha" soa natural em pt-BR; "Boulder" e' palavra inglesa solta na frase. 52 contra 5.	Гора
os Termiteiros	mp	\bТермит(?:ы|ов|ам|ах|ами)?\b	Termitas:fp	Faccao. "Termitas" e' o inseto em pt-PT (em pt-BR seria "cupins"); "Termiteiros" ecoa o Termitario, conforme GLOSSARIO.md.	Термиты
